"","Date","rlc_end_time","Specimen.ID","deltaNPQ","Species","Treatment","Temp...C.","RLC.Time","RLC.Day","Run","pmax","rETRmax","rETRmaxYpoint1","NPQmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"422",2023-03-24,"11:06:15","ul124",0.422,"ul",4,30,"11:02:12",5,2,79.63,71.53,71.53,"0.506",0.628,0.026,24.458,0,126.8,12.9,9.8,0
"423",2023-03-24,"11:10:40","hm101",1.085,"hm",1,24,"11:06:38",5,2,66.36,70.62,70.62,"1.145",0.809,0.043,18.997,0,82.1,9,9.1,0
"424",2023-03-24,"11:15:14","hm102",0.685,"hm",2,24,"11:11:11",5,2,77.55,76.88,76.88,"0.823",0.673,0.022,30.288,0,115.2,9.1,12.6,0
"425",2023-03-24,"11:19:40","hm103",1.231,"hm",3,24,"11:15:38",5,2,64.2,60.9,60.9,"1.297",0.859,0.044,19.432,0,74.8,7.7,9.7,0
"426",2023-03-24,"11:24:13","hm104",1.008,"hm",4,24,"11:20:11",5,2,89.98,84.36,84.36,"1.096",0.761,0.034,22.516,0,118.2,12.7,9.3,0
"427",2023-03-24,"11:28:35","ul101",0.339,"ul",1,24,"11:24:33",5,2,58.46,53.87,53.87,"0.59",0.655,0.027,24.097,0,89.3,8,11.1,0
"428",2023-03-24,"11:32:59","ul102",0.36,"ul",2,24,"11:28:57",5,2,73.93,66.97,66.97,"0.364",0.643,0.024,26.634,0,114.9,10.3,11.1,0
"429",2023-03-24,"11:37:26","ul103",0.362,"ul",3,24,"11:33:23",5,2,88.56,81.48,81.48,"0.421",0.636,0.017,36.61,0,139.3,9.9,14.1,0
"430",2023-03-24,"11:42:06","ul104",0.513,"ul",4,24,"11:38:04",5,2,102.43,86.1,86.1,"0.622",0.599,0.032,18.707,0,171,25.8,6.6,0
"431",2023-03-27,"8:04:25","hm129",0.991,"hm",1,24,"8:00:23",5,2,41.66,45.62,41.89,"1.109",0.864,0.014,59.661,0,48.2,1.3,35.8,0
"432",2023-03-27,"8:09:23","hm130",0.842,"hm",2,24,"8:05:20",5,2,59.93,66.88,66.88,"1",0.668,0.022,30.984,0,89.7,6.3,14.3,0
"433",2023-03-27,"8:14:24","hm131",1.099,"hm",3,24,"8:10:22",5,2,49.15,48.83,48.83,"1.178",0.904,0.031,29.62,0,54.3,3.2,16.9,0
"434",2023-03-27,"8:19:06","hm132",0.67,"hm",4,24,"8:15:04",5,2,36.52,38.48,38.48,"0.794",0.754,0.065,11.67,0,48.4,6.9,7,0
"435",2023-03-27,"8:23:37","ul129",0.252,"ul",1,24,"8:19:34",5,2,43.31,42.18,42.18,"0.607",0.619,0.029,21.279,0,70,6.4,10.9,0
"436",2023-03-27,"8:28:22","ul130",0.345,"ul",2,24,"8:24:19",5,2,76.08,70.39,70.39,"0.439",0.66,0.022,30.162,0,115.3,9.2,12.6,0
"437",2023-03-27,"8:33:34","ul131",0.394,"ul",3,24,"8:29:32",5,2,67.9,62.41,62.41,"0.56",0.684,0.033,20.438,0,99.3,11,9.1,0
"438",2023-03-27,"8:38:35","ul132",0.448,"ul",4,24,"8:34:32",5,2,59.59,54.91,54.91,"0.61",0.671,0.044,15.09,0,88.8,12.7,7,0
"439",2023-03-27,"8:43:46","hm133",0.901,"hm",1,27,"8:39:43",5,2,45.84,52.5,47.31,"1.212",0.746,0.036,20.81,0,61.4,5.5,11.3,0
"440",2023-03-27,"8:48:50","hm134",0.844,"hm",2,27,"8:44:47",5,2,42.65,53.75,47.6,"1.065",0.743,0.03,24.667,0,57.4,4.2,13.7,0
"441",2023-03-27,"8:53:59","hm135",0.652,"hm",3,27,"8:49:57",5,2,55.15,53.58,53.58,"0.92",0.7,0.033,21.142,0,78.8,7.7,10.3,0
"442",2023-03-27,"8:58:23","hm136",0.659,"hm",4,27,"8:54:20",5,2,39.19,46.88,39.14,"1",0.639,0.028,23.152,0,61.3,4.9,12.5,0
"443",2023-03-27,"9:03:48","ul133",0.261,"ul",1,27,"8:59:46",5,2,48.99,47.31,47.31,"0.589",0.704,0.039,18.117,0,69.5,7.5,9.3,0
"444",2023-03-27,"9:08:22","ul134",0.4,"ul",2,27,"9:04:20",5,2,85.69,77.7,77.7,"0.486",0.648,0.022,29.262,0,132.1,11.4,11.5,0
"445",2023-03-27,"9:13:24","ul135",0.294,"ul",3,27,"9:09:21",5,2,99.91,86.52,86.52,"0.392",0.648,0.024,27.528,0,154.3,15.1,10.2,0
"446",2023-03-27,"9:17:57","ul136",0.508,"ul",4,27,"9:13:54",5,2,72.79,66.12,66.12,"0.648",0.65,0.038,17.233,0,112,15.4,7.3,0
"447",2023-03-27,"9:22:31","hm137",0.8,"hm",1,27,"9:18:29",5,2,49.72,56.88,48.64,"0.96",0.77,0.035,21.753,0,64.6,5.6,11.5,0
"448",2023-03-27,"9:27:58","hm138",0.653,"hm",2,27,"9:23:55",5,2,40.44,46.25,37.34,"1.117",0.635,0.031,20.672,0,63.7,5.8,11,0
"449",2023-03-27,"9:32:29","hm139",0.826,"hm",3,27,"9:28:27",5,2,49.88,56.25,50.45,"1.134",0.685,0.038,18.135,0,72.8,8,9.1,0
"450",2023-03-27,"9:36:57","hm140",0.509,"hm",4,27,"9:32:55",5,2,58.88,73.12,73.12,"0.712",0.634,0.036,17.519,0,92.9,11.6,8,0
"451",2023-03-27,"9:41:27","ul137",0.105,"ul",1,27,"9:37:25",5,2,33.8,34.2,34.2,"0.361",0.617,0.038,16.258,0,54.7,5.9,9.2,0
"452",2023-03-27,"9:46:06","ul138",0.334,"ul",2,27,"9:42:04",5,2,69.07,64.12,64.12,"0.342",0.704,0.028,25.199,0,98.2,8.8,11.2,0
"453",2023-03-27,"9:50:44","ul139",0.445,"ul",3,27,"9:46:41",5,2,73.21,67.83,67.83,"0.481",0.628,0.026,24.499,0,116.6,11.5,10.2,0
"454",2023-03-27,"9:55:09","ul140",0.551,"ul",4,27,"9:51:07",5,2,77.83,69.54,69.54,"0.671",0.653,0.034,19.471,0,119.1,14.9,8,0
"455",2023-03-27,"9:59:42","hm141",0.929,"hm",1,30,"9:55:40",5,2,47.59,51.66,51.66,"1.074",0.823,0.036,22.825,0,57.8,4.6,12.7,0
"456",2023-03-27,"10:04:21","hm142",0.785,"hm",2,30,"10:00:18",5,2,49.5,68.75,68.75,"1.12",0.66,0.039,17.047,0,75,8.8,8.5,0
"457",2023-03-27,"10:09:07","hm143",0.711,"hm",3,30,"10:05:04",5,2,45.86,47.31,47.31,"1.123",0.599,0.013,47.313,0,76.5,3.3,23.3,0
"458",2023-03-27,"10:13:44","hm144",0.622,"hm",4,30,"10:09:41",5,2,42.12,51.25,43.6,"0.667",0.694,0.025,28.081,0,60.7,4,15.3,0
"459",2023-03-27,"10:18:05","ul141",0.228,"ul",1,30,"10:14:02",5,2,30.46,31.07,31.07,"0.564",0.604,0.032,19.064,0,50.4,4.5,11.2,0
"460",2023-03-27,"10:23:11","ul142",0.373,"ul",2,30,"10:19:08",5,2,80.71,73.25,73.25,"0.432",0.699,0.022,31.659,0,115.5,8.8,13.2,0
"461",2023-03-27,"10:27:51","ul143",0.432,"ul",3,30,"10:23:48",5,2,80.23,72.67,72.67,"0.443",0.664,0.025,26.085,0,120.8,11.3,10.7,0
"462",2023-03-27,"10:32:18","ul144",0.377,"ul",4,30,"10:28:16",5,2,59.3,58.14,58.14,"0.462",0.746,0.023,32.581,0,79.5,5,15.8,0
"463",2023-03-27,"10:36:49","hm145",0.827,"hm",1,30,"10:32:47",5,2,49.98,58.75,49.14,"0.953",0.791,0.026,30.839,0,63.2,3.8,16.5,0
"464",2023-03-27,"10:41:14","hm146",0.832,"hm",2,30,"10:37:11",5,2,58.6,65.52,65.52,"1.014",0.679,0.019,35.44,0,86.3,5.2,16.6,0
