Column 1,Date,Specimen ID,uid,alpha_est,alpha_stderr,alpha_t,alpha_p,ek_est,ek_stderr,ek_t,ek_p,rETRmax,plant ID,ETRmax,Treatment,Species,RLC Day,Lanai Side,Temperature (°C),specific growth rate,run,lunar phase
63,2021-09-21,ul2-3,2021-09-21_ul2-3,0.643,0.094,6.87,0,98.5,17.2,5.7,0,70.14,ul2,29.46,4-18‰,ul,1,D,20,,1,III
64,2021-09-21,ul2-4,2021-09-21_ul2-4,0.858,0.313,2.744,0.034,52.5,21.4,2.5,0,54.44,ul2,22.86,5-11‰,ul,1,D,20,,1,III
65,2021-09-21,hm3-1,2021-09-21_hm3-1,0.841,0.061,13.762,0,84.1,7.2,11.7,0,76.26,hm3,32.03,2-35‰,hm,1,D,27,,1,III
66,2021-09-21,hm3-2,2021-09-21_hm3-2,0.673,0.046,14.513,0,84.8,6.9,12.3,0,60,hm3,25.2,3-28‰,hm,1,D,27,,1,III
67,2021-09-21,hm3-3,2021-09-21_hm3-3,0.585,0.09,6.497,0.001,93.7,17.2,5.5,0,64.78,hm3,27.21,4-18‰,hm,1,D,27,,1,III
68,2021-09-21,hm3-4,2021-09-21_hm3-4,0.753,0.049,15.329,0,103.5,8.1,12.7,0,82.82,hm3,34.78,5-11‰,hm,1,D,27,,1,III
69,2021-09-21,ul3-1,2021-09-21_ul3-1,0.774,0.151,5.133,0.002,73.8,16.6,4.4,0,63.27,ul3,26.57,2-35‰,ul,1,D,27,,1,III
70,2021-09-21,ul3-2,2021-09-21_ul3-2,0.497,0.058,8.588,0,103.1,14.5,7.1,0,54.18,ul3,22.76,3-28‰,ul,1,D,27,,1,III
71,2021-09-21,ul3-3,2021-09-21_ul3-3,0.788,0.243,3.237,0.018,55.4,19.2,2.9,0,50.45,ul3,21.19,4-18‰,ul,1,D,27,,1,III
72,2021-09-21,ul3-4,2021-09-21_ul3-4,0.73,0.123,5.915,0.001,87.7,17.5,5,0,70.14,ul3,29.46,5-11‰,ul,1,D,27,,1,III
73,2021-09-21,hm4-1,2021-09-21_hm4-1,0.736,0.047,15.701,0,133.1,10.6,12.6,0,104.14,hm4,43.74,2-35‰,hm,1,D,27,,1,III
74,2021-09-21,hm4-2,2021-09-21_hm4-2,0.794,0.061,12.989,0,120,11.4,10.6,0,99.22,hm4,41.67,3-28‰,hm,1,D,27,,1,III
75,2021-09-21,hm4-3,2021-09-21_hm4-3,0.739,0.061,12.08,0,89.6,8.8,10.2,0,69.72,hm4,29.28,4-18‰,hm,1,D,27,,1,III
76,2021-09-21,hm4-4,2021-09-21_hm4-4,0.64,0.111,5.792,0.001,111.2,23.4,4.8,0,81.18,hm4,34.1,5-11‰,hm,1,D,27,,1,III
77,2021-09-21,ul4-1,2021-09-21_ul4-1,0.619,0.061,10.166,0,107.5,12.8,8.4,0,68.04,ul4,28.58,2-35‰,ul,1,D,27,,1,III
78,2021-09-21,ul4-2,2021-09-21_ul4-2,0.657,0.052,12.55,0,150.6,15.3,9.8,0,98.28,ul4,41.28,3-28‰,ul,1,D,27,,1,III
79,2021-09-21,ul4-3,2021-09-21_ul4-3,0.767,0.092,8.372,0,105.9,15.3,6.9,0,85.68,ul4,35.99,4-18‰,ul,1,D,27,,1,III
80,2021-09-21,ul4-4,2021-09-21_ul4-4,0.744,0.066,11.261,0,113.3,12.3,9.2,0,88.2,ul4,37.04,5-11‰,ul,1,D,27,,1,III
