date,ID,Species,weight difference,run,lanai side,treatment,temperature,Initial weight,final weight,plant ID,RLC order, lunar phase
10/9/21,Ul5-4,Ul,0.1024,2,diamond,4,30 C,0.2939,0.3963,23,2,I
10/9/21,Hm6-1,Hm,0.049,2,diamond,1,30 C,0.2505,0.2995,24,3,I
10/9/21,Hm6-2,Hm,0.0247,2,diamond,2,30 C,0.2631,0.2878,24,3,I
10/9/21,Hm6-3,Hm,-0.1435,2,diamond,3,30 C,0.2916,0.1481,24,3,I
10/9/21,Hm6-4,Hm,-0.2559,2,diamond,4,30 C,0.2909,0.035,24,3,I
10/9/21,Ul6-1,Ul,0.1476,2,diamond,1,30 C,0.3051,0.4527,24,3,I
10/9/21,Ul6-2,Ul,0.1651,2,diamond,2,30 C,0.287,0.4521,24,3,I
10/9/21,Ul6-3,Ul,0.2207,2,diamond,3,30 C,0.3039,0.5246,24,3,I
10/9/21,Ul6-4,Ul,0.1584,2,diamond,4,30 C,0.3053,0.4637,24,3,I
10/19/21,Hm1-1,Hm,0.0746,3,ewa,1,20 C,0.2948,0.3694,25,4,III
10/19/21,Hm1-2,Hm,0.0869,3,ewa,2,20 C,0.299,0.3859,25,4,III
10/19/21,Hm1-3,Hm,0.0636,3,ewa,3,20 C,0.3037,0.3673,25,4,III
10/19/21,Hm1-4,Hm,0.0746,3,ewa,4,20 C,0.3036,0.3782,25,4,III
10/19/21,Ul1-1,Ul,-0.0236,3,ewa,1,20 C,0.2803,0.2567,25,4,III
10/19/21,Ul1-2,Ul,0.0171,3,ewa,2,20 C,0.286,0.3031,25,4,III
10/19/21,Ul1-3,Ul,0.036,3,ewa,3,20 C,0.2817,0.3177,25,4,III
10/19/21,Ul1-4,Ul,0.0474,3,ewa,4,20 C,0.2773,0.3247,25,4,III
10/19/21,Hm2-1,Hm,0.0374,3,ewa,1,20 C,0.2957,0.3331,26,5,III
10/19/21,Hm2-2,Hm,0.0613,3,ewa,2,20 C,0.2859,0.3472,26,5,III
10/19/21,Hm2-3,Hm,0.0481,3,ewa,3,20 C,0.2921,0.3402,26,5,III
10/19/21,Hm2-4,Hm,0.0177,3,ewa,4,20 C,0.2794,0.2971,26,5,III
10/19/21,Ul2-1,Ul,0.1614,3,ewa,1,20 C,0.2871,0.4485,26,5,III
10/19/21,Ul2-2,Ul,0.0975,3,ewa,2,20 C,0.2596,0.3571,26,5,III
10/19/21,Ul2-3,Ul,0.0954,3,ewa,3,20 C,0.2655,0.3609,26,5,III
10/19/21,Ul2-4,Ul,0.1672,3,ewa,4,20 C,0.2563,0.4235,26,5,III
10/19/21,Hm3-1,Hm,0.1144,3,ewa,1,27 C,0.3039,0.4051,27,6,III
10/19/21,Hm3-2,Hm,0.0731,3,ewa,2,27 C,0.3077,0.3808,27,6,III
10/19/21,Hm3-3,Hm,0.0804,3,ewa,3,27 C,0.2803,0.3607,27,6,III
10/19/21,Hm3-4,Hm,0.0808,3,ewa,4,27 C,0.3055,0.3863,27,6,III
10/19/21,Ul3-1,Ul,0.0508,3,ewa,1,27 C,0.2898,0.3406,27,6,III
10/19/21,Ul3-2,Ul,0.0298,3,ewa,2,27 C,0.2669,0.2967,27,6,III
10/19/21,Ul3-3,Ul,0.1532,3,ewa,3,27 C,0.2808,0.434,27,6,III
10/19/21,Ul3-4,Ul,0.1536,3,ewa,4,27 C,0.2916,0.4452,27,6,III
10/19/21,Hm4-1,Hm,0.0888,3,ewa,1,27 C,0.3043,0.38485,28,1,III
10/19/21,Hm4-2,Hm,0.0781,3,ewa,2,27 C,0.2892,0.3673,28,1,III
10/19/21,Hm4-3,Hm,0.1173,3,ewa,3,27 C,0.2722,0.3895,28,1,III
10/19/21,Hm4-4,Hm,0.0425,3,ewa,4,27 C,0.2757,0.3182,28,1,III
10/19/21,Ul4-1,Ul,0.1087,3,ewa,1,27 C,0.2979,0.4066,28,1,III
10/19/21,Ul4-2,Ul,0.1702,3,ewa,2,27 C,0.3035,0.4737,28,1,III
10/19/21,Ul4-3,Ul,0.0207,3,ewa,3,27 C,0.3085,0.3292,28,1,III
10/19/21,Ul4-4,Ul,0.1831,3,ewa,4,27 C,0.2989,0.482,28,1,III
10/19/21,Hm5-1,Hm,0.1487,3,ewa,1,30 C,0.2858,0.4300,29,2,III
10/19/21,Hm5-2,Hm,0.1155,3,ewa,2,30 C,0.3073,0.4228,29,2,III
10/19/21,Hm5-3,Hm,0.1235,3,ewa,3,30 C,0.3,0.4235,29,2,III
10/19/21,Hm5-4,Hm,0.11,3,ewa,4,30 C,0.2791,0.3891,29,2,III
10/19/21,Ul5-1,Ul,0.0418,3,ewa,1,30 C,0.2733,0.3151,29,2,III
10/19/21,Ul5-2,Ul,0.0971,3,ewa,2,30 C,0.2839,0.381,29,2,III
10/19/21,Ul5-3,Ul,0.0934,3,ewa,3,30 C,0.2673,0.3607,29,2,III
10/19/21,Ul5-4,Ul,0.1558,3,ewa,4,30 C,0.2923,0.4481,29,2,III
10/19/21,Hm6-1,Hm,0.046,3,ewa,1,30 C,0.2642,0.3102,30,3,III
10/19/21,Hm6-2,Hm,0.0595,3,ewa,2,30 C,0.2492,0.3087,30,3,III
10/19/21,Hm6-3,Hm,-0.063,3,ewa,3,30 C,0.2842,0.2212,30,3,III
10/19/21,Hm6-4,Hm,-0.0192,3,ewa,4,30 C,0.2607,0.2415,30,3,III
10/19/21,Ul6-1,Ul,0.0962,3,ewa,1,30 C,0.2546,0.3508,30,3,III
10/19/21,Ul6-2,Ul,0.117,3,ewa,2,30 C,0.2258,0.3428,30,3,III
10/19/21,Ul6-3,Ul,0.1445,3,ewa,3,30 C,0.2329,0.3774,30,3,III
10/19/21,Ul6-4,Ul,0.1535,3,ewa,4,30 C,0.2603,0.4138,30,3,III
10/29/21,Hm1-1,Hm,0.0589,3.5,diamond,1,20 C,0.3032,0.3621,31,4,IV
10/29/21,Hm1-2,Hm,0.0577,3.5,diamond,2,20 C,0.3037,0.3614,31,4,IV
10/29/21,Hm1-3,Hm,0.0879,3.5,diamond,3,20 C,0.3045,0.3924,31,4,IV
10/29/21,Hm1-4,Hm,0.0436,3.5,diamond,4,20 C,0.3065,0.3501,31,4,IV
10/29/21,Ul1-1,Ul,0.0942,3.5,diamond,1,20 C,0.307,0.4012,31,4,IV
10/29/21,Ul1-2,Ul,0.1112,3.5,diamond,2,20 C,0.2991,0.4103,31,4,IV
10/29/21,Ul1-3,Ul,0.126,3.5,diamond,3,20 C,0.2984,0.4244,31,4,IV
10/29/21,Ul1-4,Ul,0.1576,3.5,diamond,4,20 C,0.3007,0.4583,31,4,IV
10/29/21,Hm2-1,Hm,0.0758,3.5,diamond,1,20 C,0.3069,0.3827,32,5,IV
10/29/21,Hm2-2,Hm,0.0006,3.5,diamond,2,20 C,0.2655,0.2661,32,5,IV
10/29/21,Hm2-3,Hm,-0.0439,3.5,diamond,3,20 C,0.2755,0.2316,32,5,IV
10/29/21,Hm2-4,Hm,0.002,3.5,diamond,4,20 C,0.2883,0.2903,32,5,IV
10/29/21,Ul2-1,Ul,0.0616,3.5,diamond,1,20 C,0.2808,0.3424,32,5,IV
10/29/21,Ul2-2,Ul,0.0903,3.5,diamond,2,20 C,0.2973,0.3876,32,5,IV
10/29/21,Ul2-3,Ul,0.1293,3.5,diamond,3,20 C,0.2848,0.4141,32,5,IV
10/29/21,Ul2-4,Ul,0.1193,3.5,diamond,4,20 C,0.3038,0.4231,32,5,IV
10/29/21,Hm3-1,Hm,0.0489,3.5,diamond,1,27 C,0.3009,0.3498,33,6,IV
10/29/21,Hm3-2,Hm,0.0363,3.5,diamond,2,27 C,0.3062,0.3425,33,6,IV
10/29/21,Hm3-3,Hm,0.0628,3.5,diamond,3,27 C,0.2669,0.3297,33,6,IV
10/29/21,Hm3-4,Hm,0.0298,3.5,diamond,4,27 C,0.3024,0.3322,33,6,IV
10/29/21,Ul3-1,Ul,0.0752,3.5,diamond,1,27 C,0.309,0.3842,33,6,IV
10/29/21,Ul3-2,Ul,0.0586,3.5,diamond,2,27 C,0.269,0.3276,33,6,IV
10/29/21,Ul3-3,Ul,0.1024,3.5,diamond,3,27 C,0.2985,0.4009,33,6,IV
10/29/21,Ul3-4,Ul,0.0892,3.5,diamond,4,27 C,0.1993,0.2885,33,6,IV
10/29/21,Hm4-1,Hm,0.0589,3.5,diamond,1,27 C,0.3054,0.34735,34,1,IV
10/29/21,Hm4-2,Hm,0.0436,3.5,diamond,2,27 C,0.30395,0.34905,34,1,IV
10/29/21,Hm4-3,Hm,0.0751,3.5,diamond,3,27 C,0.30415,0.38,34,1,IV
10/29/21,Hm4-4,Hm,0.0496,3.5,diamond,4,27 C,0.30065,0.354,34,1,IV
10/29/21,Ul4-1,Ul,-0.0662,3.5,diamond,1,27 C,0.2831,0.2169,34,1,IV
10/29/21,Ul4-2,Ul,0.0277,3.5,diamond,2,27 C,0.3027,0.3304,34,1,IV
10/29/21,Ul4-3,Ul,0.1008,3.5,diamond,3,27 C,0.3003,0.4011,34,1,IV
10/29/21,Ul4-4,Ul,0.1467,3.5,diamond,4,27 C,0.2886,0.4353,34,1,IV
