"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"267","2021-09-29","hm5-3","2021-09-29_hm5-3",11,"hm","diamond","3",30,4,9,1,"0.622",49.2,20.66,0.898,0.159,5.649,0.001,46.9,9.2,5.1,0
"268","2021-09-29","hm5-4","2021-09-29_hm5-4",11,"hm","diamond","4",30,4,9,1,"0.569",63.14,26.52,0.808,0.162,4.995,0.002,70.4,16.2,4.3,0
"269","2021-09-29","ul5-1","2021-09-29_ul5-1",11,"ul","diamond","1",30,4,9,1,"0.393",54.72,22.98,1.04,0.423,2.46,0.043,43.7,19.5,2.2,0.1
"270","2021-09-29","ul5-2","2021-09-29_ul5-2",11,"ul","diamond","2",30,4,9,1,"0.408",68.11,28.61,0.848,0.142,5.956,0.001,72.7,14.1,5.2,0
"271","2021-09-29","ul5-3","2021-09-29_ul5-3",11,"ul","diamond","3",30,4,9,1,"0.422",74.76,31.4,0.825,0.115,7.188,0,83.1,13.6,6.1,0
"272","2021-09-29","ul5-4","2021-09-29_ul5-4",11,"ul","diamond","4",30,4,9,1,"0.543",75.18,31.58,0.67,0.067,10.043,0,106.7,12.8,8.3,0
"273","2021-09-29","hm2-1","2021-09-29_hm2-1",8,"hm","diamond","1",20,5,9,1,"0.666",76.26,32.03,0.627,0.059,10.712,0,110,12.5,8.8,0
"274","2021-09-29","hm2-2","2021-09-29_hm2-2",8,"hm","diamond","2",20,5,9,1,"0.187",64.78,27.21,0.474,0.043,10.998,0,123.4,13.9,8.9,0
"275","2021-09-29","hm2-3","2021-09-29_hm2-3",8,"hm","diamond","3",20,5,9,1,"0.573",98.4,41.33,0.71,0.068,10.501,0,127.9,15.1,8.5,0
"276","2021-09-29","hm2-4","2021-09-29_hm2-4",8,"hm","diamond","4",20,5,9,1,"0.538",94.08,39.51,0.699,0.072,9.684,0,129.2,16.6,7.8,0
"277","2021-09-29","ul2-1","2021-09-29_ul2-1",8,"ul","diamond","1",20,5,9,1,"0.459",56.15,23.58,0.8,0.171,4.671,0.002,61.8,15,4.1,0
"278","2021-09-29","ul2-2","2021-09-29_ul2-2",8,"ul","diamond","2",20,5,9,1,"0.48",64.7,27.17,0.827,0.162,5.117,0.001,69.6,15.6,4.4,0
"279","2021-09-29","ul2-3","2021-09-29_ul2-3",8,"ul","diamond","3",20,5,9,1,"0.335",76.38,32.08,0.781,0.129,6.041,0.001,89.6,17.5,5.1,0
"280","2021-09-29","ul2-4","2021-09-29_ul2-4",8,"ul","diamond","4",20,5,9,1,"0.431",61.27,25.73,0.856,0.238,3.6,0.009,61.4,19.4,3.2,0
"281","2021-09-29","hm1-1","2021-09-29_hm1-1",7,"hm","diamond","1",20,6,9,1,"0.558",76.26,32.03,0.654,0.082,7.987,0,105.2,15.9,6.6,0
"282","2021-09-29","hm1-2","2021-09-29_hm1-2",7,"hm","diamond","2",20,6,9,1,"0.401",71.34,29.96,0.518,0.077,6.686,0,120.1,22.1,5.4,0
"283","2021-09-29","hm1-3","2021-09-29_hm1-3",7,"hm","diamond","3",20,6,9,1,"0.537",76.26,32.03,0.583,0.038,15.363,0,123.2,9.9,12.4,0
"284","2021-09-29","hm1-4","2021-09-29_hm1-4",7,"hm","diamond","4",20,6,9,1,"0.586",74.95,31.48,0.795,0.155,5.121,0.001,84.5,19.4,4.4,0
"285","2021-09-29","ul1-1","2021-09-29_ul1-1",7,"ul","diamond","1",20,6,9,1,"0.439",62.13,26.09,0.8,0.15,5.32,0.001,69.2,15,4.6,0
"286","2021-09-29","ul1-2","2021-09-29_ul1-2",7,"ul","diamond","2",20,6,9,1,"0.471",61.84,25.97,0.802,0.174,4.61,0.002,67.7,16.9,4,0
"287","2021-09-29","ul1-3","2021-09-29_ul1-3",7,"ul","diamond","3",20,6,9,1,"0.501",74.67,31.36,0.765,0.135,5.661,0.001,88.5,18.5,4.8,0
"288","2021-09-29","ul1-4","2021-09-29_ul1-4",7,"ul","diamond","4",20,6,9,1,"0.668",80.64,33.87,0.726,0.072,10.131,0,105.6,12.6,8.4,0
"289","2021-09-30","hm1-1","2021-09-30_hm1-1",13,"hm","ewa","1",30,1,1,2,"0.585",77.9,32.72,0.501,0.04,12.674,0,143.7,14.4,10,0
"290","2021-09-30","hm1-2","2021-09-30_hm1-2",13,"hm","ewa","2",30,1,1,2,"0.422",61.5,25.83,0.539,0.068,7.964,0,104.9,15.9,6.6,0
"291","2021-09-30","hm1-3","2021-09-30_hm1-3",13,"hm","ewa","3",30,1,1,2,"0.419",55.76,23.42,0.641,0.061,10.561,0,82.4,9.1,9,0
"292","2021-09-30","hm1-4","2021-09-30_hm1-4",13,"hm","ewa","4",30,1,1,2,"0.506",72.16,30.31,0.618,0.037,16.52,0,110.6,8.1,13.6,0
"293","2021-09-30","ul1-1","2021-09-30_ul1-1",13,"ul","ewa","1",30,1,1,2,"0.692",112.56,47.28,0.788,0.095,8.257,0,135.9,20.7,6.6,0
"294","2021-09-30","ul1-2","2021-09-30_ul1-2",13,"ul","ewa","2",30,1,1,2,"0.507",88.2,37.04,0.777,0.092,8.476,0,104.1,14.8,7,0
"295","2021-09-30","ul1-3","2021-09-30_ul1-3",13,"ul","ewa","3",30,1,1,2,"0.44",82.32,34.57,0.85,0.09,9.456,0,90.6,11.4,8,0
"296","2021-09-30","ul1-4","2021-09-30_ul1-4",13,"ul","ewa","4",30,1,1,2,"0.506",57.57,24.18,1.115,0.785,1.42,0.199,39.1,29.9,1.3,0.2
"297","2021-09-30","hm2-1","2021-09-30_hm2-1",14,"hm","ewa","1",30,2,1,2,"0.87",84.46,35.47,0.897,0.143,6.268,0,80.5,15,5.4,0
"298","2021-09-30","hm2-2","2021-09-30_hm2-2",14,"hm","ewa","2",30,2,1,2,"0.342",91.84,38.57,0.573,0.041,13.912,0,151.8,14,10.9,0
"299","2021-09-30","hm2-3","2021-09-30_hm2-3",14,"hm","ewa","3",30,2,1,2,"0.526",77.9,32.72,0.522,0.053,9.873,0,134,17,7.9,0
"300","2021-09-30","hm2-4","2021-09-30_hm2-4",14,"hm","ewa","4",30,2,1,2,"0.567",100.86,42.36,0.558,0.045,12.503,0,167.6,17.5,9.6,0
"301","2021-09-30","ul2-1","2021-09-30_ul2-1",14,"ul","ewa","1",30,2,1,2,"0.461",70.68,29.69,0.716,0.101,7.058,0,91.2,15.3,6,0
"302","2021-09-30","ul2-2","2021-09-30_ul2-2",14,"ul","ewa","2",30,2,1,2,"0.362",107.1,44.98,0.691,0.043,16.224,0,157.1,12.5,12.6,0
"303","2021-09-30","ul2-3","2021-09-30_ul2-3",14,"ul","ewa","3",30,2,1,2,"0.362",92.66,38.92,0.673,0.029,23.024,0,138.6,7.6,18.3,0
"304","2021-09-30","ul2-4","2021-09-30_ul2-4",14,"ul","ewa","4",30,2,1,2,"0.413",83.58,35.1,0.728,0.068,10.687,0,110.4,12.6,8.8,0
"305","2021-09-30","hm3-1","2021-09-30_hm3-1",15,"hm","ewa","1",27,3,1,2,"0.546",99.96,41.98,0.62,0.042,14.703,0,159.4,14,11.4,0
"306","2021-09-30","hm3-2","2021-09-30_hm3-2",15,"hm","ewa","2",27,3,1,2,"0.583",102.5,43.05,0.565,0.021,26.737,0,186.6,9.4,19.9,0
"307","2021-09-30","hm3-3","2021-09-30_hm3-3",15,"hm","ewa","3",27,3,1,2,"0.607",109.06,45.81,0.641,0.048,13.479,0,162.9,15.7,10.4,0
"308","2021-09-30","hm3-4","2021-09-30_hm3-4",15,"hm","ewa","4",27,3,1,2,"0.639",92.66,38.92,0.644,0.086,7.442,0,134.8,22.7,5.9,0
"309","2021-09-30","ul3-1","2021-09-30_ul3-1",15,"ul","ewa","1",27,3,1,2,"0.491",80.22,33.69,0.749,0.1,7.474,0,99.6,16,6.2,0
"310","2021-09-30","ul3-2","2021-09-30_ul3-2",15,"ul","ewa","2",27,3,1,2,"0.589",68.04,28.58,0.659,0.055,12.067,0,97.7,9.7,10.1,0
"311","2021-09-30","ul3-3","2021-09-30_ul3-3",15,"ul","ewa","3",27,3,1,2,"0.486",84.42,35.46,0.751,0.108,6.956,0,102.8,17.8,5.8,0
"312","2021-09-30","ul3-4","2021-09-30_ul3-4",15,"ul","ewa","4",27,3,1,2,"0.443",83.58,35.1,0.716,0.08,8.94,0,108.8,14.8,7.4,0
"313","2021-09-30","hm4-1","2021-09-30_hm4-1",16,"hm","ewa","1",27,4,1,2,"0.622",86.92,36.51,0.533,0.035,15.17,0,152.6,12.9,11.8,0
"314","2021-09-30","hm4-2","2021-09-30_hm4-2",16,"hm","ewa","2",27,4,1,2,"0.669",99.22,41.67,0.638,0.075,8.567,0,135.8,19.9,6.8,0
"315","2021-09-30","hm4-3","2021-09-30_hm4-3",16,"hm","ewa","3",27,4,1,2,"0.435",91.84,38.57,0.405,0.092,4.423,0.003,178.7,53.6,3.3,0
"316","2021-09-30","hm4-4","2021-09-30_hm4-4",16,"hm","ewa","4",27,4,1,2,"0.439",72.16,30.31,0.48,0.055,8.733,0,137.1,19.7,6.9,0
"317","2021-09-30","hm5-1","2021-09-30_hm5-1",17,"hm","ewa","1",20,4,1,2,"0.607",82.82,34.78,0.507,0.038,13.464,0,149.9,14.2,10.5,0
"318","2021-09-30","hm5-2","2021-09-30_hm5-2",17,"hm","ewa","2",20,4,1,2,"0.239",61.5,25.83,0.239,0.026,9.038,0,238.6,38.2,6.2,0
"319","2021-09-30","hm5-3","2021-09-30_hm5-3",17,"hm","ewa","3",20,4,1,2,"0.075",42.64,17.91,0.105,0.037,2.845,0.025,354.1,213.7,1.7,0.1
"320","2021-09-30","hm5-4","2021-09-30_hm5-4",17,"hm","ewa","4",20,4,1,2,"0.291",82,34.44,0.331,0.025,13.355,0,235.7,25.4,9.3,0
"321","2021-09-30","hm6-1","2021-09-30_hm6-1",18,"hm","ewa","1",20,5,1,2,"0.869",131.2,55.1,0.886,0.084,10.604,0,141.4,16.9,8.4,0
"322","2021-09-30","hm6-2","2021-09-30_hm6-2",18,"hm","ewa","2",20,5,1,2,"0.939",97.58,40.98,0.804,0.084,9.562,0,111.4,14.2,7.9,0
"323","2021-09-30","hm6-3","2021-09-30_hm6-3",18,"hm","ewa","3",20,5,1,2,"0.89",103.74,43.57,0.998,0.168,5.926,0.001,95,19.1,5,0
"324","2021-09-30","hm6-4","2021-09-30_hm6-4",18,"hm","ewa","4",20,5,1,2,"0.714",84.93,35.67,0.855,0.099,8.623,0,93.9,13,7.2,0
"325","2021-09-30","ul4-1","2021-09-30_ul4-1",16,"ul","ewa","1",27,5,1,2,"0.567",70.14,29.46,0.762,0.1,7.615,0,85.7,13.2,6.5,0
"326","2021-09-30","ul4-2","2021-09-30_ul4-2",16,"ul","ewa","2",27,5,1,2,"0.651",104.58,43.92,0.798,0.062,12.813,0,127.1,12.3,10.3,0
"327","2021-09-30","ul4-3","2021-09-30_ul4-3",16,"ul","ewa","3",27,5,1,2,"0.831",88.62,37.22,0.705,0.081,8.754,0,119.3,16.8,7.1,0
"328","2021-09-30","ul4-4","2021-09-30_ul4-4",16,"ul","ewa","4",27,5,1,2,"0.864",97.86,41.1,0.791,0.122,6.496,0,112,21,5.3,0
"329","2021-09-30","ul5-1","2021-09-30_ul5-1",17,"ul","ewa","1",20,6,1,2,"0.42",72.11,30.29,1.02,0.301,3.388,0.012,59.7,19.9,3,0
"330","2021-09-30","ul5-3","2021-09-30_ul5-3",17,"ul","ewa","3",20,6,1,2,"0.51",85.5,35.91,0.794,0.113,7.024,0,100.4,17.2,5.9,0
